Time(ms),Volume,Pressure,Temperature 1,Temperature 2,,Time(ms) - Driven,Volume - Driven,Pressure - Driven,Temperature 1 - Driven,Temperature 2 - Driven
0,38.30468164025307,72.24853516,206,53.75,,0,40.123545745230196,87.55615234,44.75,28.75
6,39.43956715190542,71.10107422,206,53.75,,5,30.55137001424529,84.45556641,44.75,28.75
13,40.02593454280165,69.99023438,206,53.75,,9,31.142249026158748,82.06298828,44.75,28.75
18,40.59016645602864,69.31884766,206,53.75,,13,31.75040341337618,79.70703125,44.75,28.75
25,40.92562056270117,68.48876953,206,53.75,,17,32.46808164,77.37548828,44.75,28.75
31,41.274456138991425,68.01269531,206,53.75,,21,33.30961237726227,75.44677734,44.75,28.75
39,41.45138993959099,67.26806641,206,53.75,,26,34.23174993465399,73.26171875,44.75,28.75
47,41.604480545964876,66.70654297,206,53.75,,34,35.48059559143775,70.95458984,44.75,28.75
55,41.61030595586943,66.23046875,206,53.75,,38,37.26368709210984,70.08789063,44.75,28.75
63,41.47346231588615,65.94970703,206,53.75,,42,38.26852640814561,69.44091797,44.75,28.75
71,41.199795657471256,65.77880859,206,53.75,,46,39.17198726002496,69.00146484,44.75,28.75
80,40.78143086858186,65.75439453,206,53.75,,50,39.98334962572372,68.79394531,44.75,28.75
88,40.24534061991378,65.94970703,206,53.75,,54,40.64247921566913,68.76953125,44.75,28.75
96,39.57314209021623,66.328125,206,53.75,,58,41.155819362451055,68.90380859,44.75,28.75
104,38.76520922105502,67.02392578,206,53.75,,62,41.48280151010505,69.22119141,44.75,28.75
112,37.87435714281056,68.03710938,206,53.75,,66,41.62108413695013,69.67285156,44.75,28.75
121,36.85367136228113,69.47753906,206,53.75,,70,41.56624022781179,70.30761719,44.75,28.75
129,35.79249700987459,71.35742188,206,53.75,,76,41.31593157335861,71.33300781,44.75,28.75
137,34.72217586790744,73.83544922,206,53.75,,83,40.73799716,73.1640625,44.75,28.75
145,33.67639972211545,76.69189453,206,53.75,,87,39.51066014686698,74.44580078,44.75,28.75
152,32.70487918460262,79.58496094,206,53.75,,91,38.59910837091122,75.8984375,44.75,28.75
158,31.94756299219145,81.70898438,206,53.75,,95,37.65060052501805,77.53417969,44.75,28.75
166,31.495192894641725,85.05371094,206,53.75,,100,36.61427566799996,79.89013672,44.75,28.75
174,30.871634149911348,88.36181641,206,53.75,,107,35.32118647942541,83.52783203,44.75,28.75
182,30.40763651764937,91.1328125,206,53.75,,112,33.61834520511338,86.31103516,44.75,28.75
190,30.08610555,93.4765625,206,53.75,,120,32.56021519101724,89.89990234,44.75,28.75
198,29.904614421964958,95.07568359,206,53.75,,125,31.358445701268664,91.98730469,44.75,28.75
207,29.845081781173448,95.95458984,206,53.75,,132,30.711873873627457,93.74511719,44.75,28.75
215,29.899543688794033,95.96679688,206,53.75,,137,30.11857533251573,93.96484375,44.75,28.75
223,30.069636355771635,95.17333984,206,53.75,,145,29.90154483,92.51220703,44.75,28.75
231,30.366526681977216,93.70849609,206,53.75,,153,29.895649990910982,89.04541016,44.75,28.75
239,30.79002241952275,91.57226563,206,53.75,,162,30.318112881912562,84.18701172,44.75,28.75
248,31.36916445022502,89.06982422,206,53.75,,170,31.20228527802732,79.53613281,44.75,28.75
256,32.09521325316944,86.20117188,206,53.75,,178,32.553074580579164,75.23925781,44.75,28.75
264,32.989274075638065,83.39355469,206,53.75,,186,34.31962402017828,72.05322266,44.75,28.75
272,33.997623860412055,80.59814453,206,53.75,,194,36.355575314159275,69.97802734,44.75,28.75
280,35.116433824167586,78.19335938,206,53.75,,203,38.358733890507004,68.95263672,44.75,28.75
289,36.269405594545034,75.87402344,206,53.75,,211,40.06807113535644,68.76953125,44.75,28.75
297,37.41527179984735,73.99414063,206,53.75,,219,41.19588270423051,69.24560547,44.75,28.75
305,38.46616244776237,72.24853516,206,53.75,,227,41.62490337588146,70.34423828,44.75,28.75
313,39.39171111,70.88134766,206,53.75,,235,41.274456138991425,72.08984375,44.75,28.75
321,40.15780124324952,69.63623047,206,53.75,,244,40.184972457611465,74.62890625,44.75,28.75
330,40.76525810961729,68.671875,206,53.75,,252,38.492873643735294,77.75390625,44.75,28.75
338,41.207570426526786,67.81738281,206,53.75,,260,36.48011880483432,81.72119141,44.75,28.75
346,41.48961527,67.12158203,206,53.75,,268,34.45255085324546,85.88378906,44.75,28.75
354,41.615843719252595,66.56005859,206,53.75,,276,32.66111130530361,90.11962891,44.75,28.75
362,41.59670460282654,66.15722656,206,53.75,,284,31.279282049840337,92.96386719,44.75,28.75
370,41.43586303593673,65.90087891,206,53.75,,293,30.36963245937254,93.92822266,44.75,28.75
379,41.14347072271253,65.7421875,206,53.75,,301,29.915435054794603,92.79296875,44.75,28.75
387,40.704781853476746,65.75439453,206,53.75,,309,29.884837021691347,89.13085938,44.75,28.75
395,40.15097596486821,65.94970703,206,53.75,,316,30.280545389137014,85.01708984,44.75,28.75
403,39.45543782417805,66.41357422,206,53.75,,324,31.002891492101295,80.21972656,44.75,28.75
410,38.643075587376416,67.04833984,206,53.75,,333,32.274803638506626,75.84960938,44.75,28.75
416,37.84651892747885,67.63427734,206,53.75,,341,33.980469898218274,72.51708984,44.75,28.75
424,37.21618679882519,68.92822266,206,53.75,,349,35.98278062544008,70.234375,44.75,28.75
431,36.18330358421517,70.4296875,206,53.75,,357,38.022127649756904,69.05029297,44.75,28.75
436,35.23720127410572,71.73583984,206,53.75,,365,39.801218599149706,68.73291016,44.75,28.75
443,34.55981719638763,73.93310547,206,53.75,,374,41.048317987544024,69.12353516,44.75,28.75
448,33.643181821147955,75.59326172,206,53.75,,382,41.604480545964876,70.14892578,44.75,28.75
455,33.03529433008174,78.40087891,206,53.75,,390,41.39422011122754,71.71142578,44.75,28.75
